DATE,PRCP
12/12/2017,0
1/25/2012,0.04
8/14/2012,0
10/16/1994,0
1/15/2016,0.01
10/15/2019,0
11/21/1989,0
11/10/2020,0
9/11/1994,1.4
8/8/1993,0
8/2/2010,0
2/6/2020,0
7/21/2009,0
3/19/2016,0.65
12/27/1989,0
4/20/2010,0
5/29/2019,0
7/30/2014,0
11/25/2016,0
10/12/2013,0
10/19/2017,
7/19/2015,0
6/26/1996,0.44
8/2/2018,0
1/31/2018,
3/21/2010,0.39
1/27/2021,0.01
9/22/1990,0
3/29/1993,0
3/30/1993,0
10/29/1988,0.01
8/6/2008,0
4/30/2010,0
3/4/2008,0
3/15/1997,0
9/27/2014,0.32
9/24/2009,0.02
9/26/2010,0.47
1/17/1997,0
6/28/2011,0
3/27/2008,0
4/23/2015,1.51
1/9/2018,0
12/15/1995,0
1/2/2015,0.05
6/1/2015,0
1/7/2015,0
9/11/2013,0.17
7/4/2015,0
8/22/2008,0
1/19/1997,0.18
10/31/1988,0.16
12/31/2013,0.12
10/10/2018,0
4/5/1989,0
12/30/2011,0
8/12/2016,0
10/14/1992,0
12/26/1995,0
7/26/2013,0
9/13/2019,0.06
5/23/1996,0
10/11/2016,0
4/28/2017,0
8/14/2018,0
5/11/2013,0.19
1/15/2017,0
1/30/2018,0
8/31/2014,0.01
6/13/2019,0
10/20/2019,0
5/29/2014,0
3/12/2017,0.18
4/22/2018,0.02
5/18/2011,0
12/17/2008,0
6/1/2011,0
4/5/1993,0.23
10/17/1988,0
1/15/2012,0
12/9/2016,0.02
9/29/2008,0
12/4/2012,0
6/22/2019,0
11/30/2012,0
12/25/1997,0
7/8/2020,0
1/16/2013,0.03
10/27/2010,0
10/6/2012,0
1/7/2009,0
4/29/2014,0
8/5/2016,0.12
5/12/2020,0.08
4/8/2017,0
8/31/2013,0
6/7/1996,0
4/3/2013,0
7/13/2009,0
12/24/2008,0.04
11/22/2020,0
9/2/1993,0
4/14/2009,0
5/25/2010,0
11/22/1988,0
12/15/2019,0
12/18/2011,0.01
3/22/2012,0
7/12/2010,0
6/7/1990,0
11/2/2010,0.53
4/20/2014,0
12/2/2015,0
7/25/2011,0
7/13/2016,0
6/5/2018,0
4/16/2014,0
3/7/2011,0
3/25/1990,0
7/1/2015,0.25
6/24/2012,0
7/1/2016,0
5/9/1991,0.2
6/14/2009,0
10/18/2016,0
10/7/2014,0
8/30/1992,0
5/29/2017,3.84
12/15/2008,0
10/16/2018,0.01
3/17/2013,0
2/9/1993,3
7/2/2012,0
1/22/2017,0
1/31/2008,0.02
5/1/2018,0
1/30/2014,0
5/19/1991,0
4/5/2013,0
4/13/2013,0
2/25/2019,0
10/4/1991,0
4/11/2009,0
5/21/2020,0
12/11/2009,0
7/17/2013,2.25
3/10/1992,0
12/3/2016,0.02
12/21/2013,0
5/28/2014,0
9/30/2020,0
8/6/2009,0
2/7/2011,0
10/11/1997,2.5
5/28/2017,0
6/26/2015,0
2/4/2009,0
9/6/2009,0.94
11/24/1996,0.7
10/1/2014,0
1/25/2020,0
10/18/2017,0
12/11/1991,0
5/27/2008,0
2/22/2016,0.01
1/11/2018,0
7/15/1998,0
10/2/2019,0.1
8/17/2010,0
1/24/2015,0
9/11/2019,0.47
10/13/1989,0
7/30/2013,0
4/12/1989,0
5/13/1990,0
9/12/2019,0.02
11/28/1990,0
4/25/1992,0
7/6/2015,0
12/1/2016,0
2/25/2010,0
10/17/1989,0
8/10/1996,0
5/18/1998,0
6/5/2010,0
12/19/2019,0
8/30/1993,0
1/15/2009,0
10/15/2014,0
